"","date","price"
"1",2018-02-12,1000
"2",2018-02-13,1003.8325
"3",2018-02-14,1013.2619
"4",2018-02-15,1016.1704
"5",2018-02-16,1016.2871
"6",2018-02-17,1016.2728
"7",2018-02-18,1016.2485
"8",2018-02-19,1016.5602
"9",2018-02-20,1009.3996
"10",2018-02-21,1005.3539
"11",2018-02-22,1005.8417
"12",2018-02-23,1015.0739
"13",2018-02-24,1015.0406
"14",2018-02-25,1015.0073
"15",2018-02-26,1024.3427
"16",2018-02-27,1010.5083
"17",2018-02-28,1008.4299
"18",2018-03-01,1001.0885
"19",2018-03-02,1009.2464
"20",2018-03-03,1009.2137
"21",2018-03-04,1009.181
"22",2018-03-05,1021.7312
"23",2018-03-06,1012.8584
"24",2018-03-07,1023.7703
"25",2018-03-08,1033.757
"26",2018-03-09,1048.5514
"27",2018-03-10,1048.5172
"28",2018-03-11,1048.483
"29",2018-03-12,1049.3973
"30",2018-03-13,1041.3334
"31",2018-03-14,1033.0607
"32",2018-03-15,1035.5545
"33",2018-03-16,1042.0649
"34",2018-03-17,1042.0309
"35",2018-03-18,1041.9969
"36",2018-03-19,1033.4983
"37",2018-03-20,1035.3835
"38",2018-03-21,1031.0705
"39",2018-03-22,1008.1697
"40",2018-03-23,985.8578
"41",2018-03-24,986.4178
"42",2018-03-25,986.3879
"43",2018-03-26,1009.0756
"44",2018-03-27,990.2823
"45",2018-03-28,983.4175
"46",2018-03-29,996.7247
"47",2018-03-30,996.6922
"48",2018-03-31,996.6597
"49",2018-04-01,996.6272
"50",2018-04-02,973.6904
"51",2018-04-03,983.703
"52",2018-04-04,997.389
"53",2018-04-05,1001.5481
"54",2018-04-06,982.8513
"55",2018-04-07,982.8193
"56",2018-04-08,982.7872
"57",2018-04-09,985.9035
"58",2018-04-10,996.7268
"59",2018-04-11,990.29
"60",2018-04-12,995.0243
"61",2018-04-13,990.8294
"62",2018-04-14,990.7971
"63",2018-04-15,990.7648
"64",2018-04-16,997.7404
